Name	Corona Temp. (K)	Wind Speed (km/s)
HD 141937 b	2272678.0	968.0
TOI-2136 b	1136333.0	531.0
HD 23079 b	2528869.0	975.0
HD 85390 b	979464.0	959.0
HD 11964 b	996649.0	1040.0
HD 11964 c	996649.0	753.0
2MASS J01225093-2439505 b	14649060.0	1273.0
HR 2562 b	5943056.0	1201.0
HD 40979 b	1806477.0	909.0
HD 106515 A b	745305.0	1073.0
HD 196885 A b	1920892.0	1013.0
HD 4208 b	1551684.0	978.0
HD 142022 A b	1036126.0	1033.0
HD 81040 b	4992718.0	996.0
BD-17 63 b	1380327.0	957.0
HD 92788 b	2153713.0	923.0
HD 92788 c	2153713.0	1147.0
HD 45652 b	923005.0	757.0
HD 65216 b	1498493.0	954.0
HD 65216 c	1498493.0	1095.0
HIP 66074 b	906864.0	902.0
HD 142415 b	3784559.0	932.0
HD 20782 b	1251803.0	959.0
TOI-1266 b	823878.0	579.0
TOI-1266 c	823878.0	641.0
HD 7199 b	1021622.0	958.0
HD 113337 b	15106894.0	929.0
HD 113337 c	15106894.0	1109.0
HD 156279 b	1497373.0	850.0
HD 156279 c	1497373.0	1091.0
Kepler-444 b	729319.0	462.0
Kepler-444 c	729319.0	498.0
Kepler-444 d	729319.0	541.0
Kepler-444 e	729319.0	569.0
Kepler-444 f	729319.0	596.0
HD 216770 b	1727625.0	840.0
HD 73256 c	2317631.0	1057.0
HD 42012 b	1459433.0	979.0
HD 95338 b	1262065.0	770.0
HD 25015 b	1494950.0	1102.0
HD 47186 b	1104304.0	503.0
HD 47186 c	1104304.0	1014.0
HD 169830 b	2028291.0	898.0
HD 169830 c	2389738.0	1038.0
TOI-1685 b	2959793.0	216.0
HD 126525 b	837160.0	988.0
HD 195019 b	1866188.0	684.0
HD 63454 b	3467737.0	452.0
HAT-P-11 b	1063607.0	514.0
HAT-P-11 c	1063607.0	1065.0
HD 117618 b	1251867.0	720.0
HD 16141 b	1038055.0	810.0
HD 114729 b	821315.0	1000.0
HD 12661 b	1175332.0	908.0
HD 12661 c	1132248.0	1030.0
HD 38283 b	1236812.0	928.0
TOI-237 b	1035324.0	409.0
HD 32963 b	1311606.0	1047.0
HD 106252 b	1498015.0	1022.0
HD 18599 b	7343552.0	494.0
HD 89744 b	2920582.0	917.0
HD 7449 b	2479142.0	1016.0
HD 108202 b	1043054.0	1055.0
bet UMi b	2032847.0	961.0
HD 108147 b	1869417.0	635.0
HD 10180 c	1487360.0	554.0
HD 10180 d	1487360.0	671.0
HD 10180 e	1487360.0	774.0
HD 10180 f	1487360.0	848.0
HD 10180 g	1487360.0	963.0
HD 10180 h	1487360.0	1047.0
HD 203030 b	18275209.0	1431.0
HD 28185 b	1011583.0	930.0
HD 28185 c	2119043.0	1165.0
HD 102117 b	851969.0	694.0
HD 168443 b	782036.0	784.0
HD 168443 c	782036.0	1030.0
TOI-1235 b	1158446.0	442.0
HD 16905 b	1121557.0	1132.0
HIP 54597 b	1402325.0	1062.0
gam1 Leo b	2267240.0	945.0
HD 196067 b	1852882.0	1083.0
Kepler-42 b	983060.0	216.0
Kepler-42 c	983060.0	215.0
Kepler-42 d	983060.0	216.0
TOI-1759 b	1197770.0	657.0
HIP 99770 b	10949674.0	1186.0
2MASS J02192210-3925225 b	24781447.0	1353.0
HD 147018 b	1112497.0	758.0
HD 147018 c	1112497.0	993.0
HD 137388 b	1029834.0	914.0
HD 215497 b	971417.0	503.0
HD 215497 c	1180271.0	954.0
HD 206893 b	14656199.0	1139.0
HD 206893 c	14656199.0	1051.0
HD 213240 b	1552629.0	991.0
HD 83443 b	2045558.0	455.0
HD 83443 c	2045558.0	1123.0
HD 235088 b	4970205.0	575.0
HR 8799 b	25894153.0	1293.0
HR 8799 c	25894153.0	1250.0
HR 8799 d	25894153.0	1214.0
HR 8799 e	35736205.0	1183.0
BD-08 2823 b	1239047.0	541.0
BD-08 2823 c	1338175.0	885.0
HD 168746 b	987382.0	570.0
HD 121504 b	3848676.0	800.0
HD 4113 b	1128557.0	952.0
TOI-2076 b	11526956.0	565.0
TOI-2076 c	11526956.0	646.0
TOI-2076 d	11526956.0	697.0
HD 222582 b	850509.0	957.0
HD 98649 b	1443741.0	1103.0
HD 38529 b	1829883.0	654.0
HD 38529 c	1829883.0	1042.0
HD 6434 b	796073.0	684.0
TOI-715 b	859239.0	600.0
TOI-1807 b	12289819.0	215.0
HD 49674 b	1660263.0	541.0
HD 93385 b	1771195.0	584.0
HD 93385 c	1771195.0	650.0
HD 93385 d	1771195.0	768.0
HIP 21152 b	5697963.0	1186.0
HD 155358 b	832307.0	876.0
HD 155358 c	787741.0	928.0
HD 27894 b	1502554.0	667.0
HD 27894 c	670950.0	733.0
HD 27894 d	672978.0	1088.0
TOI-262 b	4589714.0	706.0
91 Aqr b	1792610.0	888.0
K2-3 b	941304.0	582.0
K2-3 c	941304.0	679.0
K2-3 d	941304.0	735.0
HD 29399 b	1191870.0	992.0
HD 17674 b	936712.0	963.0
Wolf 503 b	722944.0	531.0
30 Ari B b	4801996.0	925.0
HD 171238 b	999172.0	1021.0
HD 15337 b	1280534.0	512.0
HD 15337 c	1280534.0	669.0
HD 8574 b	1315134.0	897.0
BD+60 1417 b	18429088.0	1510.0
K2-25 b	4046037.0	351.0
HD 285507 b	5356640.0	541.0
HD 166724 b	1476840.0	1089.0
HD 208487 b	988248.0	855.0
DMPP-3 A b	767906.0	560.0
HD 330075 b	981324.0	452.0
HD 103720 b	1521773.0	502.0
HD 86226 b	1409815.0	1027.0
HD 86226 c	1409815.0	499.0
TOI-1860 b	15479778.0	215.0
HIP 91258 b	2170504.0	541.0
HD 187085 b	2061872.0	1002.0
HD 187123 b	1032283.0	467.0
HD 187123 c	1032283.0	1080.0
HD 202206 c	1944845.0	1015.0
HD 34445 b	963619.0	1000.0
HD 34445 c	949038.0	891.0
HD 34445 d	949038.0	845.0
HD 34445 e	949038.0	774.0
HD 34445 f	949038.0	971.0
HD 34445 g	949038.0	1104.0
nu Oph b	6380133.0	984.0
nu Oph c	6380133.0	1096.0
HIP 113103 b	6449429.0	567.0
HIP 113103 c	6449429.0	639.0
HD 50499 b	2288189.0	1058.0
HD 50499 c	2304208.0	1134.0
HD 24040 b	1121028.0	1081.0
