Name	Corona Temp. (K)	Wind Speed (km/s)
BD+15 2940 b	1074703.0	589.0
HD 177830 c	1574644.0	585.0
8 UMi b	2967745.0	581.0
HD 37605 b	1206803.0	530.0
WASP-162 b	701047.0	410.0
WASP-84 b	2320508.0	397.0
HD 118203 b	1338665.0	385.0
WASP-139 b	6365981.0	369.0
WASP-140 b	6343961.0	284.0
WASP-84 c	2320508.0	239.0
TOI-969 c	2310145.0	708.0
TOI-4010 e	1130073.0	674.0
TOI-4010 d	1130073.0	439.0
TOI-836 c	1161713.0	392.0
TOI-4010 c	1130073.0	361.0
TOI-836 b	1161713.0	320.0
TOI-969 b	2310145.0	255.0
TOI-4010 b	1130073.0	235.0
HAT-P-17 c	969246.0	762.0
Kepler-1661 b	2394884.0	602.0
NGTS-11 b	1520911.0	499.0
TOI-2076 d	8146736.0	472.0
TOI-178 g	955987.0	452.0
TOI-2076 c	8146736.0	435.0
TOI-178 f	955987.0	430.0
HAT-P-17 b	985788.0	411.0
Kepler-444 f	729319.0	402.0
TOI-178 e	955987.0	397.0
Kepler-444 e	729319.0	383.0
TOI-2076 b	8146736.0	381.0
Kepler-444 d	729319.0	365.0
TOI-178 d	955987.0	364.0
TOI-181 b	1207987.0	352.0
Kepler-444 c	729319.0	339.0
Kepler-444 b	729319.0	319.0
HAT-P-3 b	2917083.0	309.0
TOI-178 c	955987.0	303.0
HAT-P-68 b	716229.0	274.0
TOI-178 b	955987.0	254.0
HATS-2 b	831045.0	236.0
Kepler-421 b	1469399.0	655.0
HD 11964 b	996649.0	724.0
HD 216770 b	1727625.0	575.0
HD 11964 c	996649.0	511.0
HD 191939 f	875849.0	724.0
HD 30669 b	1340141.0	712.0
HD 164922 b	848867.0	697.0
HD 147018 c	1112497.0	688.0
HD 63765 b	1252808.0	634.0
HD 191939 g	875849.0	623.0
TOI-199 c	4614635.0	622.0
TOI-199 b	4614635.0	569.0
HD 191939 e	875849.0	565.0
HD 164922 c	848867.0	549.0
K2-263 b	1030925.0	523.0
K2-24 c	1329535.0	519.0
HD 147018 b	1112497.0	516.0
HD 164922 e	846693.0	512.0
HD 191939 d	875849.0	505.0
K2-32 d	938877.0	490.0
HD 191939 c	875849.0	485.0
K2-24 b	1329535.0	472.0
K2-32 c	938877.0	461.0
TOI-421 c	841516.0	444.0
Kepler-67 b	3892805.0	443.0
HD 164922 d	848867.0	429.0
K2-19 c	943515.0	422.0
TOI-561 c	750463.0	411.0
HD 191939 b	875849.0	400.0
TOI-1062 c	2097741.0	400.0
K2-32 b	938877.0	399.0
K2-19 b	943515.0	391.0
TOI-421 b	841516.0	357.0
TOI-1062 b	2097741.0	348.0
K2-32 e	938877.0	340.0
CoRoT-7 c	2609008.0	332.0
K2-19 d	943515.0	293.0
CoRoT-18 b	32795480.0	272.0
HATS-15 b	763345.0	260.0
TOI-1416 b	1019145.0	207.0
CoRoT-7 b	2564942.0	190.0
TOI-561 b	750463.0	118.0
HD 142022 A b	1036126.0	718.0
TOI-157 b	706312.0	280.0
HD 100655 b	3883748.0	608.0
HD 154345 b	800394.0	743.0
K2-229 c	1223325.0	395.0
WASP-183 b	610367.0	333.0
K2-229 b	1223325.0	150.0
55 Cnc f	810575.0	619.0
HD 177565 b	1073359.0	518.0
55 Cnc c	810575.0	515.0
HD 95089 c	2840075.0	727.0
HD 18742 b	2389775.0	684.0
HD 95089 b	2318140.0	663.0
HD 99109 b	3812691.0	647.0
HD 45652 b	923005.0	515.0
TOI-4515 b	3489077.0	444.0
CoRoT-28 b	748384.0	366.0
tau Cet f	698049.0	661.0
tau Cet e	698049.0	589.0
tau Cet h	698049.0	517.0
tau Cet g	698049.0	456.0
HD 219077 b	888567.0	766.0
HD 30177 c	759191.0	800.0
55 Cnc d	1220102.0	766.0
WASP-8 c	1555200.0	758.0
HD 30177 b	2100477.0	733.0
HD 171238 b	999172.0	709.0
HD 111232 b	1281626.0	696.0
HD 165155 b	793495.0	649.0
HD 100777 b	1237240.0	644.0
HD 20794 d	1118585.0	551.0
K2-138 g	1941034.0	512.0
HD 20794 c	1118585.0	500.0
HD 20794 b	1118585.0	446.0
K2-138 f	1941034.0	430.0
WASP-8 b	1642784.0	400.0
K2-138 e	1941034.0	397.0
Kepler-447 b	2019502.0	395.0
K2-138 d	1941034.0	363.0
XO-5 b	942623.0	346.0
K2-138 c	1941034.0	328.0
WASP-44 b	811724.0	293.0
K2-138 b	1941034.0	291.0
K2-265 b	839825.0	290.0
TOI-132 b	1125358.0	254.0
WASP-77 A b	1123383.0	238.0
WASP-19 b	1118336.0	186.0
55 Cnc e	810575.0	175.0
EPIC 249893012 d	910202.0	508.0
EPIC 249893012 c	910202.0	454.0
EPIC 249893012 b	910202.0	335.0
HD 66428 c	1686818.0	795.0
HD 66428 b	1686818.0	728.0
HD 181234 b	1119842.0	780.0
HD 217107 c	1191324.0	759.0
HD 221585 b	1196555.0	702.0
HD 126614 b	1031910.0	700.0
HD 9174 b	906009.0	698.0
HD 200964 c	2006980.0	690.0
HD 200964 b	2006980.0	673.0
HD 212771 b	1303551.0	653.0
HD 28678 b	2889473.0	652.0
HD 192699 b	2830682.0	644.0
HD 175541 b	2732415.0	637.0
HD 217107 b	1196678.0	400.0
HD 11977 b	3973803.0	689.0
HD 167768 b	1296927.0	470.0
HD 173416 b	3135293.0	651.0
HD 20794 e	1153562.0	584.0
WASP-83 b	1358167.0	363.0
WASP-96 b	985191.0	330.0
HAT-P-27 b	1421158.0	313.0
WASP-104 b	1904164.0	270.0
WASP-4 b	1025653.0	233.0
HD 4208 b	1551684.0	678.0
TOI-5678 b	913521.0	520.0
NGTS-16 b	824501.0	348.0
K2-29 b	2042076.0	320.0
LTT 9779 b	2442397.0	188.0
K2-261 b	899108.0	429.0
HD 117207 b	1509943.0	736.0
HD 140901 c	1815627.0	809.0
HD 120084 b	4543288.0	743.0
HAT-P-51 b	954757.0	344.0
WASP-98 b	1933359.0	305.0
WASP-64 b	3520894.0	256.0
HD 92788 c	2153713.0	802.0
HD 152079 b	2934327.0	743.0
HD 70642 b	4292424.0	727.0
Kepler-88 d	2880409.0	706.0
HD 47186 c	1104304.0	704.0
HD 143361 b	1888260.0	691.0
HD 96063 b	971988.0	647.0
HD 73526 c	865209.0	642.0
HD 92788 b	2153713.0	637.0
HD 73526 b	915410.0	605.0
GJ 3021 b	7799293.0	581.0
KOI-142 c	2313152.0	472.0
HD 102117 b	851969.0	469.0
KOI-142 b	2880409.0	421.0
K2-140 b	842732.0	381.0
HD 47186 b	1104304.0	343.0
HD 76700 b	787675.0	343.0
K2-30 b	1535122.0	338.0
NGTS-15 b	1760691.0	326.0
WASP-49 b	735217.0	306.0
HATS-54 b	986221.0	303.0
WASP-46 b	825351.0	238.0
HD 190360 c	929469.0	454.0
18 Del b	4293878.0	707.0
HD 156279 c	1497373.0	761.0
HD 156279 b	1497373.0	583.0
WASP-130 b	2493050.0	427.0
WASP-56 b	1067395.0	357.0
WASP-165 b	1438949.0	338.0
WASP-57 b	2020502.0	305.0
WASP-65 b	955553.0	289.0
TOI-1386 c	1771195.0	615.0
70 Vir b	1010831.0	579.0
HD 90156 b	1394495.0	520.0
TOI-1386 b	1771195.0	484.0
