Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 131496 b,0.45421642837856985,6.967188147732174e-05,0.4247878660636196,40.506153666088984,5.5581106726767406e-05,0.0001840104393810034
HD 20782 b,0.4403310219148195,6.907825591626503e-05,0.4146400565850865,29.582714465413247,5.358751981116083e-05,0.0001333780797197516
HD 20794 e,6.001394030943115,6.800875952365159e-05,5.851588320556274,1090.6940575476945,5.701791733405498e-05,0.00017924144434312855
HAT-P-29 b,2.5401252072487246,6.74801408664393e-05,1.457400728930016,3.618571637463802,3.766427034353399e-05,6.955883129166016e-05
K2-229 b,150.4233353689663,6.68983673043051e-05,21.25963260441864,17.72102094003361,2.5139765906372962e-05,7.435384816122627e-05
HD 20868 b,0.48280966886034093,6.68236823079442e-05,0.4454888540655066,27.35942609971538,5.033584313938033e-05,0.00010373629328330763
Qatar-3 b,49.23354695847992,6.619537247659374e-05,8.826606764519475,9.209254088021957,2.326327508976903e-05,3.424957171617842e-05
WASP-160 B b,0.2924083124627317,6.441506390120362e-05,0.0653942828524377,0.09621373788001136,1.4911335928115139e-05,1.762721596971699e-05
HD 42012 b,0.41784813611066013,6.43580534179434e-05,0.3918487186552095,31.33386020701264,5.1284216969664036e-05,0.00014951237935041472
HATS-29 b,0.6924107682927163,6.3171712122908e-05,0.20982886329738776,0.3055517968238508,1.8203015023513102e-05,2.6001960496370113e-05
GJ 1132 c,16.749274686361325,6.258306183431906e-05,7.476588817659787,11.225468380638695,2.961503507023954e-05,5.2391397757496245e-05
TOI-2134 b,8.512505954781368,6.252855097340626e-05,1.8054879870237972,3.365805103359925,2.6150159504857136e-05,7.598522399850151e-05
HD 87883 b,0.2544037633700367,6.249771675734997e-05,0.24502698493099376,30.952099225826263,5.103054953531035e-05,0.00014300196627125715
HD 187085 b,0.3192293754795158,6.248948787013222e-05,0.29335491265931224,14.312210634214047,4.77296467297608e-05,0.0001050807664611476
GJ 3929 c,7.509549118069409,6.227543704044246e-05,3.4735431465211875,6.744039788473359,3.4665829820629414e-05,8.674595808433182e-05
WASP-84 c,106.6344680308781,6.082472667271092e-05,23.806733545605923,19.0232828434865,2.2845243434513882e-05,5.6448616476997704e-05
HIP 90988 b,0.5026060564694563,5.998741633371505e-05,0.4717312279375521,35.847749159371006,4.701812564460549e-05,0.00011746706650114951
WASP-96 b,0.49122822547458733,5.939179227987516e-05,0.13461686307558185,0.18780524288988165,2.6041722152204284e-05,5.369196385756059e-05
HATS-4 b,28.69707738688104,5.915726742751103e-05,5.172378069228515,2.720899378922372,1.8617828413920634e-05,3.575281023151175e-05
HD 7449 b,0.6193684218552813,5.871062787840935e-05,0.5888173171528677,47.03751303613405,4.602565306081792e-05,0.00011871143517272188
TOI-2266 b,30.53712869432529,5.850564948783587e-05,8.855422969613716,11.282604675895783,2.7802316017250097e-05,6.706382737907941e-05
LTT 3780 c,9.274522562691011,5.8044916097818286e-05,1.4669140080936023,1.828575871399524,2.41164589475534e-05,7.933608670498306e-05
HD 207832 c,0.3583474743185122,5.797728424212446e-05,0.32775267508793277,16.454755371411018,4.4551183700224175e-05,0.00012617585463282015
NGTS-21 b,25.85655304699654,5.7587382093825475e-05,5.740275722744812,6.931654390139034,2.044490366404953e-05,4.311388500409351e-05
TOI-4603 b,54.569843483250985,5.699415771704716e-05,3.309243905879711,3.0745340469195312,1.101602211916581e-05,1.0417050772892704e-05
