Names,x,y_mag,y_kin,y_both,d,s,l_mag,l_kin,l_both,y_err_min,y_err_max,x_err_min,x_err_max,Color
HD 221585 b,0.29024373043108453,5.122088746883456e-06,3.1202452472321354e-05,1.8202427252508058e-05,2.7512122825016045,0.34101740949423137,,,,1.4319310174187925e-05,3.4885294599817444e-05,0.2749038475272493,22.49997047556964,black
HD 126614 b,0.10116769435809188,7.925906834636917e-07,1.9977834628416356e-05,1.0475990784569413e-05,2.10223028616716,0.3455945179499973,,,,7.791778127131414e-06,1.5941610583104197e-05,0.0911237363899736,4.29787892472252,black
HD 200964 c,0.3800821595245628,0.0005339055402416635,2.6124637933533394e-05,0.00028461820181962513,2.116822953715459,0.32607803211139175,,,,0.00022541425530098663,0.0007160999379432602,0.35375652452146067,23.297415316417478,black
HD 217107 b,6.093842279792144,0.0022173060637332618,0.002860931912674429,0.0026134513202246343,7.659535498666794,-1.0969100130080565,,,,0.0013964895658377767,0.0030349364007713183,4.04955581857241,7.508462990707544,black
HD 11977 b,0.9040114906012304,0.020499676176214593,1.4271266317521946e-05,0.01026163787052552,2.2620023997241896,0.3124741502399976,,,,0.008316840354530567,0.0325150029511337,0.8440384620879479,69.32656973475585,black
HD 173416 b,0.8957880305084056,0.01220739518730148,3.889655011887568e-06,0.006106822306557085,1.162507075143008,0.06437863622060379,,,,0.004762214925332159,0.014596871415093042,0.8303634451885858,56.82511275475522,black
HD 20794 e,5.698591929676494,1.7511483670956695e-06,0.000137126348397888,6.942348213588134e-05,25.598945025588705,-0.2891307469114926,,,,5.7397734032591416e-05,0.0001908384916103813,5.563052763455875,768.2064625094022,black
WASP-96 b,0.48704262351695754,0.00010664480543560987,1.1137159834478259e-05,5.912139432908958e-05,0.43597313547114985,-1.3239471869639787,,,,2.622116549127111e-05,5.144105566555722e-05,0.13240431520115814,0.19400985254280229,black
HAT-P-27 b,3.355217621940201,0.00026792226746794143,4.718668617122947e-05,0.0001590983202010511,0.7715143880983033,-1.3870873156965533,,,,6.336775407167406e-05,0.00013139328419380412,1.0974214899308712,1.7284369832966848,black
WASP-104 b,14.04450871306507,0.002073183604463254,5.855483240568577e-05,0.0010685731225327504,0.826457173701694,-1.5371226298273606,,,,0.0003598347571128642,0.0008354525206953234,2.6808584517886462,3.4368265898046353,black
WASP-4 b,4.295107755630278,0.002042147020214791,3.246789753521687e-05,0.0010360387536360316,0.5750800327114787,-1.6530784801322294,,,,0.00026357921220395526,0.00036697977665650725,0.9333671174137081,1.2185166943278158,black
TOI-5678 b,1.849655779859742,1.0761244935106126e-09,2.5161257584907743e-06,1.2622339470686103e-06,0.9290891103051724,-0.5969781953601142,,,,9.406390051335304e-07,2.0416917579357376e-06,1.7389462468015346,93.09905283813882,black
NGTS-16 b,0.5661927739926758,1.9633512701559915e-05,2.127343222990584e-06,1.0974035388882151e-05,0.17108696281842972,-1.3193476820043906,,,,5.198580875197042e-06,9.801645984858966e-06,0.26510159338722894,0.6019260878780346,black
K2-29 b,1.5950610291227834,0.0006804088875974808,0.0001604944459861046,0.00042606134475104557,0.8609880107617504,-1.3739158606259703,,,,0.00010053623825272866,0.0001520751199881585,0.2365013336773365,0.28123153987086513,black
LTT 9779 b,23.388450002376032,0.012219253940693175,5.7069621926264386e-05,0.006137275298309393,1.9103678917704021,-1.7807163660537149,,,,0.002660759397069504,0.006410298463126786,5.835624008890353,8.502871277330946,black
HD 117207 b,0.30714345062976844,2.003693409902105e-06,7.829496140720808e-05,4.073237168719125e-05,4.749382167682079,0.576594812193203,,,,3.287601147273112e-05,8.861120716494993e-05,0.2924962146030003,25.18389739292317,black
HD 140901 c,0.16234471070377784,1.992718414142644e-06,0.00013264244547602267,6.900568672472397e-05,10.074532887122585,1.0715253333477626,,,,5.6495500033735006e-05,0.00020526790334794693,0.15639872479986075,15.84516522068261,black
WASP-98 b,4.285556735232419,0.00011625161805298343,3.204617257477545e-05,7.569509443941877e-05,0.5454097550975834,-1.4307751877019674,,,,3.097861498985608e-05,7.300552849886727e-05,1.0124289581650574,1.2917940685521705,black
WASP-64 b,6.750463222495386,0.0027719656752795982,4.3445824232754614e-05,0.0014106863785833036,0.4153934441501905,-1.5743609467636746,,,,0.00043332547153988985,0.0008708856416156101,1.3047557107634606,1.6559176883041848,black
HD 92788 c,0.23129089478819162,1.627816814839229e-06,3.224684489144959e-05,1.7382468922539478e-05,4.4342852795567405,1.123034607575579,,,,1.4268714333702303e-05,4.89677700571917e-05,0.22332595424393858,27.649827408316614,black
Kepler-88 d,0.644461858661926,6.15528065185218e-08,1.4440470760837882e-06,7.804325109446808e-07,0.40774720580344415,0.4543019060746922,,,,6.117985150355381e-07,2.0798212651224216e-06,0.6084749009968193,47.501467572277946,black
HD 143361 b,0.5766837219256398,7.098972460907582e-07,3.2793012512995695e-05,1.6957215127536208e-05,2.2428042376472077,0.29828778310925164,,,,1.3239431516735984e-05,4.2133900480575506e-05,0.5455019775050977,36.92330755859073,black
HD 73526 c,0.4087186897535078,6.771065510516139e-07,1.4592673590051977e-05,7.66395580329325e-06,1.5802701288436334,0.009981177523385516,,,,5.923416224218485e-06,1.4604155693462494e-05,0.38332917058807675,30.847691790739606,black
HD 92788 b,0.9228444443847256,2.7451786589212868e-05,0.00031702147161552497,0.00018098922925791641,4.4342852795567405,-0.013121126267053727,,,,0.0001393066065072157,0.00040829035318672825,0.8637243715311298,54.703982069814074,black
GJ 3021 b,3.6637732892181623,0.004969319024299454,0.007769793426711248,0.007780473804102244,8.752888500202403,-0.23570918607079727,,,,0.005688428202455062,0.013962436633470474,3.2866685987053934,139.92492014371194,black
KOI-142 c,1.7794959500253529,1.2495561453161093e-07,1.532274808635767e-05,8.149153958066076e-06,0.40774720580344415,-0.7502128809652195,,,,6.079616774294341e-06,1.5391290037483704e-05,1.4626069806011295,41.34368509844456,black
KOI-142 b,3.061961545683456,1.0302335371511013e-07,1.8533125550827878e-06,1.0348209527180032e-06,0.40774720580344415,-1.186311213220833,,,,4.998360834065162e-07,1.5425891559778729e-06,1.037585876220004,2.1372797308872418,black
K2-140 b,1.925849604663317,1.588555277385531e-05,9.592018356595041e-06,1.2865637270828638e-05,0.4416709595124796,-1.1716278134266833,,,,4.477443739357822e-06,7.512618053395938e-06,0.6980391060439533,1.1772345027924043,black
