Name	Corona Temp. (K)	Wind Speed (km/s)
HD 40307 b	1349040.0	217.0
HD 25015 b	1494950.0	547.0
HD 27894 d	672978.0	337.0
eps Eri b	5510615.0	1117.0
HD 108341 b	1297440.0	450.0
Kepler-411 d	11276861.0	1351.0
HD 104067 b	1402784.0	356.0
HD 13808 c	982550.0	279.0
HD 27894 c	670950.0	195.0
Kepler-411 e	11276861.0	1291.0
HD 192263 b	2223008.0	457.0
TOI-5076 b	891150.0	225.0
HD 27894 b	1502554.0	319.0
HD 99492 b	1317936.0	282.0
HD 13808 b	982550.0	221.0
Kepler-411 c	11276861.0	1144.0
K2-36 c	3034608.0	443.0
HD 18599 b	7347457.0	798.0
OGLE-TR-111 b	871688.0	137.0
Qatar-6 b	3810190.0	486.0
WASP-45 b	691330.0	89.0
Kepler-411 b	11276861.0	1022.0
WASP-144 b	875183.0	105.0
HD 189733 b	3059629.0	371.0
WASP-52 b	7356530.0	704.0
WASP-145 A b	999084.0	113.0
K2-36 b	3034608.0	334.0
WTS-2 b	5510615.0	511.0
HD 137388 b	1029834.0	363.0
HD 110014 b	4770689.0	903.0
iot Dra b	2229249.0	565.0
HD 150010 b	1426114.0	434.0
eps CrB b	3020163.0	665.0
HD 66141 b	1101387.0	369.0
mu Leo b	1895197.0	494.0
HD 59686 A b	3101982.0	653.0
HD 18143 c	841516.0	426.0
HD 174205 b	3103922.0	693.0
HD 156668 c	876373.0	346.0
HD 216520 c	1125281.0	346.0
HD 216520 b	1125281.0	286.0
HD 18143 b	841516.0	175.0
HAT-P-18 b	685595.0	121.0
HD 156668 b	873035.0	146.0
HATS-7 b	951697.0	134.0
WASP-177 b	830155.0	110.0
GJ 86 b	762299.0	169.0
7 CMa c	1565685.0	484.0
HD 204941 b	973853.0	404.0
HD 27442 b	884098.0	318.0
TOI-444 b	5855548.0	803.0
TOI-3261 b	1077915.0	117.0
HD 85390 b	978900.0	367.0
42 Dra b	864848.0	321.0
TOI-1268 b	10395948.0	1062.0
HD 103197 b	847772.0	247.0
HD 114783 c	1148272.0	457.0
TOI-4504 c	816804.0	254.0
HD 101930 b	3637695.0	713.0
TOI-4504 d	816804.0	227.0
HD 15337 c	825120.0	197.0
CoRoT-10 b	1837326.0	346.0
CoRoT-24 c	771654.0	165.0
HD 97658 b	1517294.0	281.0
CoRoT-8 b	1831667.0	299.0
CoRoT-24 b	771654.0	124.0
HD 15337 b	825120.0	136.0
Kepler-425 b	1306841.0	192.0
Kepler-428 b	1288403.0	189.0
NGTS-14 A b	1160691.0	161.0
HD 2638 b	1780652.0	261.0
TOI-4504 b	816804.0	94.0
Qatar-4 b	13072093.0	1065.0
HD 46375 b	882072.0	115.0
HD 1605 c	1548754.0	508.0
HD 1605 b	1548754.0	460.0
HD 7199 b	1021622.0	375.0
HD 167042 b	2473765.0	597.0
HD 210702 b	2530389.0	600.0
gam1 Leo b	2267240.0	573.0
gam Cep b	1283820.0	430.0
HD 154391 b	4281699.0	952.0
HIP 56640 b	1025110.0	394.0
HD 47536 b	1010480.0	341.0
HD 29399 b	1191870.0	409.0
HD 47366 c	3223470.0	715.0
7 CMa b	1565685.0	472.0
HD 25723 b	4749125.0	869.0
HIP 90988 b	1573680.0	447.0
HD 1690 b	1268716.0	382.0
HD 47366 b	3223470.0	681.0
HD 76920 b	1293062.0	409.0
4 UMa b	1468965.0	418.0
HD 32518 b	1231418.0	355.0
K2-105 b	5735013.0	720.0
HIP 116454 b	1186900.0	233.0
HAT-P-26 b	924532.0	121.0
HAT-P-19 b	992466.0	156.0
HD 330075 b	981324.0	186.0
HAT-P-3 b	2917083.0	352.0
HAT-P-52 b	849935.0	107.0
WASP-2 b	931842.0	105.0
HD 149806 b	928237.0	435.0
HD 145675 c	1260412.0	520.0
HD 69830 d	1025653.0	332.0
HD 69830 c	1025653.0	260.0
HD 69830 b	1025653.0	199.0
HD 62509 b	4598268.0	867.0
HD 95338 b	1262065.0	329.0
HD 7924 d	4231693.0	680.0
HD 7924 c	4231693.0	646.0
HD 7924 b	4064388.0	584.0
HD 110067 f	915279.0	253.0
HD 110067 d	915279.0	224.0
HD 110067 b	915279.0	186.0
HD 73267 c	944686.0	441.0
HD 83443 c	2045558.0	661.0
HD 95872 b	772577.0	370.0
14 Her b	1538612.0	513.0
HD 73267 b	944686.0	371.0
