Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
WASP-104 b,10:42:25,+07:26:06,14.065403849200491,0.0012890574999908898,2.653050538867996,3.3788360711938576,0.0004417372444959277,0.0009893890139577135
HD 134060 b,15:10:44,-61:25:21,14.311165709893018,0.0012343222706552746,8.796168467550668,13.836661025873365,0.0006455652686772241,0.0013546822687089603
Qatar-2 b,13:50:37,-06:48:15,42.3922239467733,0.0012333814628751447,0.4038229496258552,0.3912322801437327,0.00022147116264258212,0.000286490618114162
LP 791-18 b,11:02:46,-16:24:23,62.94822315516376,0.0012041601997584243,18.156554454736472,21.739424840741165,0.0005359947290038444,0.0011981758475037262
61 Vir b,13:18:23,-18:18:57,15.073572444362615,0.001161154776013621,6.814744109930482,12.520207329095072,0.0005827354151094812,0.0010201402304244182
WASP-173 A b,23:36:40,-34:36:41,55.929324935779334,0.0011600378011269712,3.7540226478703858,3.5558509731436985,0.00037280609908110166,0.0007431837077677226
L 98-59 b,08:18:08,-68:18:52,10.79119652096306,0.0011370430469863657,4.919028197346954,8.038829774215765,0.0004742061600512919,0.0008682627935276649
HAT-P-22 b,10:22:44,+50:07:43,31.09868931415295,0.0011261002846613155,8.241474659094614,2.4202621051075894,0.0004198947035814679,0.0007417017679669546
L 98-59 e,08:18:08,-68:18:52,12.78319435422031,0.0010645699869341382,5.579027795898985,8.996262524746104,0.0005770656595406674,0.0012415504356832457
TIC 46432937 b,05:35:29,-14:35:50,50.1126811474121,0.0010600283488876277,1.595987755212363,1.5893630447921225,0.0003945867112978168,0.0010102436774731363
HD 155918 b,17:22:09,-75:20:57,19.778999852118226,0.0010570236049868664,10.310126470753623,19.223877979215857,0.0005306535409806359,0.0010368573914736894
Kepler-78 b,19:34:58,+44:26:54,69.04749058022233,0.0010524305723457034,15.647196252875787,17.724126250778994,0.00020957211592518828,0.0003145298405495534
HAT-P-36 b,12:33:04,+44:54:55,19.87161535354355,0.0010227491367365163,2.6827436112718175,3.043895256959104,0.0002778531690427415,0.0004788283332182585
HAT-P-14 b,17:20:28,+38:14:32,21.254664481983284,0.001018629478442259,8.056924833326583,2.430331556294039,0.00041234317380586566,0.0006360861750017842
HD 73583 b,08:38:45,-13:15:23,11.44965461504738,0.0009980417420428038,4.926508693675899,6.8826380592861245,0.000498657079298368,0.0013738376261773146
CoRoT-2 b,19:27:06,+01:23:01,34.61028092646696,0.0009903674055582016,6.091549660195543,1.7167511665507007,0.0003897413937370034,0.00098175965110587
HD 118203 b,13:34:02,+53:43:41,22.492102696526935,0.0009842817013397365,3.2873935417366766,2.7729701206642154,0.0001861213024720741,0.00023305990569412417
HD 219134 b,23:13:21,+57:10:11,42.383287356099245,0.000978306008481432,5.198042595434984,5.918529938563175,0.0002162547208428903,0.0002812921880549536
Pr0211 b,08:42:11,+19:16:37,27.69507753333164,0.0009762847959021537,15.511791210272412,5.079940858195691,0.0004385341765935645,0.0010495059785223665
GJ 1214 b,17:15:20,+04:57:38,15.471887513672172,0.0009499305419446638,1.1068285872052321,1.46329977051397,0.00015520036990399467,0.0002587705404961193
HD 207496 b,21:54:52,-77:20:20,11.136431123127249,0.0009145245992772083,4.01620769907108,5.654916843135954,0.0004726184289162182,0.0014820796843905035
TOI-1685 b,04:34:23,+43:02:13,59.939075837880836,0.0009081375622075393,10.721725252141105,11.872958769289752,0.0002246249867269911,0.00036394930044444094
WASP-145 A b,21:29:01,-58:50:10,22.920960579499024,0.0008474273329937809,18.839028747730335,22.18991052067767,0.0006437034889781736,0.002748217328990196
