Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HAT-P-43 b,08:35:42,+10:12:24,0.9600023340769215,8.832407125479788e-05,0.26531593282989774,0.3861510145759839,2.6521723980650643e-05,3.676837930485536e-05
WASP-83 b,12:40:36,-19:17:04,0.4377667906428412,8.564653031130943e-05,0.09226906642235594,0.16682776701744984,2.016957451892312e-05,2.4972052174130173e-05
HD 50554 b,06:54:43,+24:14:43,0.5528351304995003,8.357529194957577e-05,0.5206795127028705,51.24266356739792,6.537409072711392e-05,0.0001655568299429381
14 Her b,16:10:25,+43:48:59,0.49145562742129334,8.314502986538758e-05,0.46791448680222925,39.88420868969948,6.552101518536188e-05,0.0001721514856624353
HD 1502 b,00:19:17,+14:03:17,0.8710603929292264,7.68106880302042e-05,0.8169584053446431,50.416956963162576,6.076085288278783e-05,0.00019126727440894726
HD 73344 d,08:38:45,+23:41:07,0.33227547012662906,7.343229263347507e-05,0.316261352097773,29.786681039069517,5.8562887772342116e-05,0.00015807868174627117
HD 212771 b,22:27:03,-17:15:51,0.5772109187859903,7.093108235160617e-05,0.5385011200204975,46.84352925882623,5.7874723753943674e-05,0.00021638614566344729
TOI-199 c,05:20:25,-59:53:44,0.7390247715779601,6.902601311813849e-05,0.6533463947673908,22.08141489771791,5.152065517916465e-05,0.00014076453028822399
WASP-184 b,13:58:04,-30:20:53,0.4569277781976843,6.735635499602595e-05,0.11567569811616474,0.2166229840416492,1.7411840789877018e-05,2.1754183479022593e-05
HD 136418 b,15:19:06,+41:43:57,0.586733200904436,6.695310971771414e-05,0.5472137578995656,40.251129909506794,5.2606067655692034e-05,0.00014160233684587238
HATS-25 b,13:51:38,-23:46:52,0.6192730946135923,6.6570073459153e-05,0.20123975942711575,0.38329767336594966,2.170515300142438e-05,2.8557062953359205e-05
HD 207832 c,21:52:36,-26:01:38,0.34786408954774595,6.655215962038848e-05,0.3156680994622857,13.44980910002691,5.077013505720446e-05,0.00013789132988734727
HD 89307 b,10:18:21,+12:37:15,0.34544317098198873,6.459601262496538e-05,0.3250750895609308,31.663392738104562,5.1051826449767206e-05,0.00011538715226881138
HD 5319 c,00:55:01,+00:47:22,0.41817378605685096,6.332585608883785e-05,0.3908352141232568,21.44263544052427,5.0117375283825915e-05,0.00015963126066849534
psi1 Dra B b,17:41:58,+72:09:21,0.27052665991045555,6.28199077491285e-05,0.2561644122232172,24.53044198112634,4.984409680343024e-05,0.0001266082582736975
HATS-5 b,04:28:53,-21:28:55,0.45892250046565153,5.821652606646132e-05,0.07373644247751948,0.09126789381123757,1.279162348736206e-05,1.297212379287879e-05
55 Cnc d,08:52:35,+28:19:47,0.2491757290220163,5.7071692180643955e-05,0.2391002788092807,27.85504467123382,4.64906661032888e-05,0.00012977589165087664
HD 7449 b,01:14:29,-05:02:53,0.6173131541532948,5.270865196760937e-05,0.5854848957591731,43.77216839760882,4.0867894836067285e-05,9.93811171505917e-05
GJ 317 c,08:40:59,-23:27:10,0.1973853229401355,5.265058133470182e-05,0.1873915218843576,14.543943886333857,4.1397795255177544e-05,0.00010138137547618435
55 Cnc f,08:52:35,+28:19:47,0.5228558377902518,5.0190148396965525e-05,0.48036059080037646,33.743494652130714,3.913101928434211e-05,8.537907416593102e-05
HD 30856 b,04:50:18,-24:22:08,0.461103818608523,4.978520979790784e-05,0.43249960913738655,29.910666779671658,3.966939508276837e-05,0.00014004690989582203
HD 65216 b,07:53:41,-63:38:48,0.46985960714338126,4.777125571682811e-05,0.4355110073535044,25.515754517698515,3.747870018271572e-05,0.0001091085255329076
HD 1690 b,00:21:13,-08:16:52,0.6432457740355435,4.108275776635052e-05,0.607985212299072,51.540121273440214,3.4959913212162894e-05,0.00017530593941396372
HD 192310 c,20:15:19,-27:02:02,0.777053961477409,4.104408114914059e-05,0.7377487291317107,72.87483896508284,3.282293103102141e-05,8.856547715463907e-05
HD 75302 b,08:49:12,+03:29:06,0.3559188498844743,3.996382895846833e-05,0.33959029753104697,30.16592849522863,3.170820177366355e-05,0.00010733232479077069
HD 128356 b,14:37:05,-25:48:11,0.45673359632352084,3.754217554154553e-05,0.4214485383505494,22.185826508865023,2.863796722809552e-05,7.368650248652851e-05
HD 156411 b,17:19:51,-48:33:01,0.24201584180611832,3.7494982101703026e-05,0.22049383062754174,10.423030454782761,2.7624068092153062e-05,6.296520458810555e-05
HD 82886 b,09:35:45,+34:46:50,0.4509650318423119,3.6615395735608976e-05,0.4231403330961943,31.491868192719576,2.900357746773065e-05,8.006823960694107e-05
TOI-3785 b,08:43:36,+63:04:41,0.9119269421710912,3.542279905076377e-05,0.365525924171511,0.6176098734667914,1.1499415355669912e-05,1.8170523670670687e-05
HD 42012 b,06:09:57,+34:08:03,0.4981873469916607,3.488130512551156e-05,0.4681309131708017,35.61584765084835,2.759595741773454e-05,8.06113395534978e-05
HIP 14810 c,03:11:14,+21:05:50,0.9546689349404421,3.2861157976035576e-05,0.8737845026777381,45.40512295241926,2.5082387269449095e-05,5.9808310147188084e-05
HD 208487 b,21:57:20,-37:45:51,0.4287647015062313,3.21172404927323e-05,0.3749470823458343,13.376760396566224,2.2768744561253753e-05,4.5444086480951856e-05
GJ 163 d,04:09:17,-53:22:16,0.8144426130536542,3.077140024817822e-05,0.7664274814885496,56.29783361754158,2.4540054430571092e-05,6.974764670560233e-05
HD 190360 b,20:03:38,+29:53:40,0.21753578982999663,3.0669737472975896e-05,0.20601198077004976,20.743876156817922,2.4590205703481894e-05,6.440460979150481e-05
HD 150706 b,16:31:18,+79:47:22,0.24067243057965437,2.7461333028958015e-05,0.2293769057793705,25.137761356000155,2.251633152868508e-05,8.327667972692152e-05
HD 153950 b,17:04:31,-43:18:37,0.6646954811316783,2.728193765919049e-05,0.6236254007721119,42.78831915409314,2.0955633526936798e-05,5.184455037746819e-05
HD 79498 b,09:15:09,+23:22:30,0.33840790294630047,2.6435545899989482e-05,0.3156168391650884,25.8361989459546,2.099804028192465e-05,5.491791100249549e-05
HD 181433 d,19:25:09,-66:28:04,0.12991867217478154,2.6118776607542302e-05,0.11789479091958067,7.350924207638326,1.9879515910337573e-05,4.3826324093528494e-05
HD 111232 b,12:48:52,-68:25:29,0.5005106642515774,2.6022311993094482e-05,0.476204667039568,41.51043889683404,2.0197113860832024e-05,5.073555126715168e-05
HD 217107 c,22:58:16,-02:23:44,0.23448877203721719,2.5664585108674643e-05,0.22513785549885096,22.500044637798087,2.038278932034919e-05,5.901508431699605e-05
HAT-P-11 c,19:50:50,+48:04:55,0.38922342803824594,2.500825600419238e-05,0.3711413392385917,39.357079290472356,2.039948677611733e-05,5.788334929987613e-05
HD 213240 b,22:31:00,-49:26:03,0.568231353261657,2.4621253440159925e-05,0.54069407170184,40.55820329134876,1.9098050545247918e-05,4.776794486628457e-05
HD 86264 b,09:56:58,-15:53:43,0.5178214158112528,2.4562657575390352e-05,0.4905869077461973,43.85632293453734,1.9175655085065632e-05,5.1359253937313865e-05
HD 10697 b,01:44:56,+20:04:58,0.43363828626511924,2.433004158476532e-05,0.4110562211888432,34.58386265564944,1.8959030099406568e-05,4.8263461293895946e-05
BD-11 4672 b,18:33:29,-11:38:13,0.18009842740380128,2.4286137737933693e-05,0.16568845878390315,8.975022978755717,1.8536460767877967e-05,4.7587780929223106e-05
HD 67087 c,08:07:40,+31:33:04,0.43942146877819427,2.3825848658384957e-05,0.41402983127995985,29.695532914023374,1.863002808897896e-05,5.686016281873663e-05
HD 11506 b,01:52:51,-19:30:27,0.5521787074525325,2.346109622012032e-05,0.5234466433553121,42.400960468861534,1.8410059800395557e-05,5.199072260532323e-05
HD 11964 b,01:57:09,-10:14:36,0.15217133328543828,2.322250875951294e-05,0.14151780933535324,7.4551829954052025,1.7632398969707616e-05,4.092398839028085e-05
HD 205739 b,21:38:08,-31:44:16,0.7970088436827248,2.3119220044354706e-05,0.731908547580032,34.80008044392739,1.7589817904590265e-05,4.1148077373706976e-05
