Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
42 Dra b,18:26:00,+65:33:48,0.5756469251527798,0.0023596135306848,0.543644338469473,46.17403189739831,0.0018475461310864,0.0050533958818922
HAT-P-13 b,08:39:32,+47:21:07,1.3236111057215123,0.0021333525561032,0.3511186455591453,0.5179218707131126,0.0006054517722267,0.000925494405508
HAT-P-8 b,22:52:10,+35:26:50,2.3738105232275877,0.0019073920462131,1.1623787618793853,2.364987352581178,0.0009185826820459,0.0015317770229011
L 98-59 d,08:18:08,-68:18:52,7.0817981731785045,0.0018339992662609,1.992111985128256,3.0540204288145363,0.0007679925523138,0.0015236304770006
TrES-2 b,19:07:14,+49:19:00,5.329953324044413,0.0015984545551014,2.0231494928665605,3.2552189202910595,0.0006057853920364,0.0010351254584561
WASP-4 b,23:34:15,-42:03:42,4.32207467625765,0.0015469408359435,0.9720063353972156,1.1488290191141042,0.0003884530338714,0.0005543807330954
HD 167042 b,18:10:32,+54:17:15,0.6768455803425144,0.0014685532150892,0.6243763378953292,41.6392220773479,0.0011648312698803,0.0042839537903119
HIP 91258 b,18:36:53,+61:42:05,4.406716263601445,0.0014218544348821,2.9245815842908938,9.36313245232039,0.0008659120062849,0.001936174005186
HD 19615 b,03:15:08,+73:52:05,0.7415875945273014,0.0013682947543034,0.699714930646653,49.388334430928595,0.001071542807595,0.0038739090373443
WASP-123 b,19:17:55,-32:51:36,1.4420885151580405,0.0012994221532483,0.3788203759482975,0.5339295813978391,0.0003388637602363,0.0004710264165874
HAT-P-6 b,23:39:06,+42:27:58,1.7338331244048546,0.0011846168056693,0.8205695510583396,1.8681501983273052,0.0006134193502755,0.0010275675955169
HD 150010 b,16:31:28,+72:36:45,0.6447219181088117,0.0011662633723545,0.6079218976407057,48.57283755177364,0.000911954920597,0.0025045094325877
HD 3651 b,00:39:21,+21:14:56,1.1399701074290167,0.0011588099237212,1.0235630332797818,40.857511778496914,0.000883253624313,0.0022811968915911
HD 111591 b,12:50:17,+22:51:47,0.6623911110816514,0.0011379294296235,0.6270328539208764,46.216135620492146,0.0008695146023459,0.0022739970280828
GJ 3470 b,07:59:06,+15:23:28,1.9253183942278889,0.0011342465632269,0.547119165831893,0.7453813149281472,0.0003940550891317,0.0007001374412039
HD 2685 b,00:29:19,-76:18:15,1.297830960571472,0.0011071661432134,0.341777907207636,0.4690570703342998,0.0002065649331371,0.0002344243291893
Qatar-6 b,14:48:50,+22:09:09,2.8899063339370468,0.0011056820196062,1.0208028303567025,1.706683535384898,0.0004012116994151,0.000821280250541
WASP-80 b,20:12:40,-02:08:40,2.696842965265428,0.0011010746232314,0.5605092605419819,0.6990577467791854,0.0004432407355857,0.0010529275687157
