Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 7449 b,01:14:29,-05:02:53,0.6173131541532948,5.270865196760937e-05,0.5854848957591731,43.77216839760882,4.0867894836067285e-05,9.93811171505917e-05
GJ 317 c,08:40:59,-23:27:10,0.1973853229401355,5.265058133470182e-05,0.1873915218843576,14.543943886333857,4.1397795255177544e-05,0.00010138137547618435
NGTS-17 b,04:51:36,-34:13:34,1.3608250062107428,5.0780904668090696e-05,0.6652463707874845,1.504592879464508,2.3396029503959972e-05,4.111182074385395e-05
55 Cnc f,08:52:35,+28:19:47,0.5228558377902518,5.0190148396965525e-05,0.48036059080037646,33.743494652130714,3.913101928434211e-05,8.537907416593102e-05
HD 30856 b,04:50:18,-24:22:08,0.461103818608523,4.978520979790784e-05,0.43249960913738655,29.910666779671658,3.966939508276837e-05,0.00014004690989582203
TOI-3629 b,23:59:10,+39:18:51,2.853885662191953,4.935473705140153e-05,0.6196713191260859,0.7620598599654329,1.3328968183553429e-05,2.016860974546249e-05
WASP-47 e,22:04:49,-12:01:09,110.18137571853734,4.9152218643639306e-05,5.298582863527201,5.203118308077336,1.2081807075360266e-05,1.9258467421489058e-05
HD 104067 c,11:59:10,-20:21:20,9.974536433813345,4.86646618372597e-05,9.32663734867806,607.8979829624028,3.796042269114194e-05,0.0001079981515320675
HD 65216 b,07:53:41,-63:38:48,0.46985960714338126,4.777125571682811e-05,0.4355110073535044,25.515754517698515,3.747870018271572e-05,0.0001091085255329076
OGLE-TR-113 b,10:52:24,-61:26:49,20.542621573051896,4.749456301993795e-05,6.041109822699603,7.885094486939597,2.2338173341566546e-05,3.577736069358747e-05
CoRoT-21 b,06:44:13,-00:17:57,19.662575939641602,4.7423822040211424e-05,9.740732004468907,9.107141997304602,1.8205646697762093e-05,3.122105703169292e-05
WASP-89 b,20:55:36,-18:58:17,56.47578275006666,4.71199988754331e-05,1.8453582712056331,1.7385749710627607,1.4430482812486465e-05,3.2636756058277444e-05
TOI-712 b,06:11:45,-65:49:33,10.27774122611576,4.6894434836255065e-05,2.7851813023148635,3.550048048707872,1.8819996220177926e-05,4.470493937008198e-05
LTT 3780 c,10:18:35,-11:43:04,9.265189018515919,4.651531625981626e-05,1.4986317306345107,1.719568441613898,1.9509329526769437e-05,6.771266468452294e-05
HATS-54 b,13:22:32,-44:41:20,5.874143897236422,4.5092315210448456e-05,1.3008775201768685,1.581567240658706,1.2230235673655961e-05,2.0128919386188153e-05
HD 16417 b,02:36:59,-34:34:45,4.343708990132434,4.498107631394554e-05,4.002109564054326,267.3074535849965,3.509829199821161e-05,8.875899722101877e-05
HD 117618 b,13:32:26,-47:16:19,1.7165737480942944,4.4453979543555544e-05,1.5040730815876224,53.56853609199021,3.17810947400565e-05,5.970674662032459e-05
TOI-677 b,09:36:29,-50:27:47,4.114442015974991,4.385922313458005e-05,3.3655725799869423,39.83975154472313,2.663546190608701e-05,2.6722386753471316e-05
K2-30 b,03:29:22,+22:17:58,2.048239936464375,4.294856441144294e-05,0.5466258568817612,0.7791045285816027,1.301908597904157e-05,2.0918907575918097e-05
