Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 154391 b,0.4030988427741014,0.0007672251339392,0.3855655355348762,33.30034027109358,0.0006015023116409,0.0015452159803985
HD 108147 b,0.767245314879676,0.0007239990908846,0.4672373212207122,4.2445132861728,0.0004509046886485,0.0005604790372336
HD 184010 d,0.2763227933555198,0.0006068355459867,0.2513787644412822,12.599985170008594,0.0004895837447067,0.0021633942425104
HD 102329 b,0.742131771769962,0.0005897376964429,0.6941950693673027,55.06999382581915,0.0004598158102723,0.0012710279103781
HD 47536 b,0.3644096141345149,0.0005577886094534,0.3480481410769867,33.04188237903288,0.0004418122724049,0.0011696121472707
GJ 3512 c,0.3312491819058568,0.000547072571236,0.3069181043455309,16.998295568360167,0.0004217605345536,0.0010480930288129
omi CrB b,0.5372387032098325,0.0005158494060937,0.4968390786058726,35.22583612451813,0.0004475861483209,0.0027530510491553
24 Sex b,0.6591981855977318,0.0005048224572642,0.6133640449599123,42.31453723568451,0.0003896888151831,0.0008760535597361
HD 33844 b,0.6716548870703631,0.0005011885816598,0.6243976543098336,35.723284477655504,0.0003843964673606,0.0011832105479355
HD 60532 c,0.528727619604797,0.0004973484296286,0.4922555615297679,37.44475340791769,0.0003799940483296,0.0009202226860285
GJ 317 b,0.5712181255188533,0.000458424817806,0.5354377706865338,38.94406827242656,0.0003561759964288,0.0007988191412979
NGTS-2 b,0.8270672087154852,0.0004315335659925,0.1823116958871058,0.2259758467282976,0.0001110645339906,0.0001507381174584
HAT-P-65 b,0.6440910089046933,0.0004257955623678,0.107050766969824,0.1408723237361105,7.201016702372402e-05,8.225440102066787e-05
WASP-118 b,0.7494203984141643,0.0003992469557225,0.0732413449708068,0.0800250249970042,0.0001185709705839,0.0001271784830412
24 Sex c,0.3665649614272582,0.0003838833577635,0.3432740943238714,19.63454610240997,0.0002883072792849,0.0007417183314205
