Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
WASP-165 b,2.205711850706177,0.0001164019901694,0.8865167137190684,1.5773515928506183,4.983612657703407e-05,8.28804653611668e-05
K2-238 b,3.3876988400906822,0.0001125455282513,1.1936073384024022,1.8161502804030945,5.8579950046198425e-05,0.0001258773179509
Kepler-41 b,2.03942326027818,0.0001077941165665,0.3638216093962276,0.4286928512621659,2.3391322730817527e-05,3.334810590521344e-05
WASP-84 b,5.313533677614261,0.0001055176818875,0.7405070941447258,0.8242157081432255,3.475420164164405e-05,0.0001371169722718
HD 4308 b,5.897145132415464,0.0001030822591566,5.499388614563557,317.1503731243887,7.920078270498141e-05,0.0001863795501265
Kepler-412 b,4.6693425938629485,0.0001029756056184,0.7263812794527675,0.8315731277689844,2.722923105032061e-05,3.749539373211352e-05
HD 43691 b,2.113047279247116,0.0001025627360313,1.8634452394018064,98.69903813367644,7.482442678333053e-05,0.0001461209916417
HD 221287 b,1.0547861816500437,0.0001011325627061,0.9800554489636162,69.88140157009812,7.771716318401651e-05,0.0001722060868029
Kepler-411 c,9.198782736532308,9.620750651014632e-05,3.9209980501709953,5.45558034900033,3.407987542399871e-05,6.632591381907618e-05
WASP-124 b,2.127172789620587,9.473900953577956e-05,0.3607242890103295,0.4018475523643916,2.561162109652242e-05,3.4906363727667296e-05
WASP-175 b,6.059041096638871,9.234684662438677e-05,1.5605089392562732,1.9914311614862248,2.7711193751138214e-05,3.877125343781315e-05
HAT-P-68 b,6.650056103307275,9.013513057683312e-05,0.5950052753163746,0.6397601687676673,2.357889941188714e-05,3.949639226938796e-05
NGC 2682 Sand 364 b,1.156086934984574,8.77619772137061e-05,1.0745809482651767,73.3033682075718,8.60210817860943e-05,0.0019207034042486
HD 159243 c,1.3961464360698097,8.751604840036273e-05,1.2912842103958542,53.57129593814236,6.723555442183203e-05,0.0002207998935071
TOI-1728 b,5.183836105806872,8.73807575446639e-05,2.144740276190266,3.176754778691014,3.184840420640464e-05,7.373775592705992e-05
Kepler-45 b,6.409392344210602,8.621940991578329e-05,2.333021297650544,3.7178857254224553,4.6438436520148206e-05,0.0001177824565365
HAT-P-25 b,2.632286438783136,8.280720086057091e-05,0.3612457692626996,0.424991504072389,2.6707322956778704e-05,4.740262510568598e-05
